Mã số,Tên,Cơ quan ban hành,Cơ quan thực hiện,Lĩnh vực,URL
1.001238,Đăng ký chứng thực cam kết thỏa thuận về hỗ trợ nuôi dưỡng con sau ly hôn của ông bà - cháu,Bộ Công an,Công an cấp Xã,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-e48f-71ac-8243-a8783c74ac6f
1.001239,Đăng ký chứng thực kết quả được nuôi dưỡng bởi ông bà,Bộ Công an,Công an cấp Xã,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf9-f18e-70ce-818e-bc186beb4fb7
1.001240,Đăng ký chứng thực kết quả được nuôi dưỡng bởi anh chị em ruột,Bộ Công an,Công an cấp Xã,Hộ tịch,
1.001241,Đăng ký chứng thực kết quả chấm dứt nuôi dưỡng bởi anh chị em ruột,Bộ Công an,Công an cấp Xã,Hộ tịch,
1.001242,Đăng ký chứng thực thỏa thuận nuôi dưỡng con do bà mẹ của bà con (bà ngoại/ngoài) nuôi,Bộ Công an,Công an cấp Xã,Hộ tịch,
1.001243,Cấp giấy xác nhận về sự sống của cá nhân,Công an cấp Xã,Công an cấp Xã,Hộ tịch,
1.001244,Cấp giấy xác nhận tình trạng hôn nhân/gia đình,Công an cấp Xã,Công an cấp Xã,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bff-934a-7029-bd36-fc562c513e27
1.001245,Đăng ký chứng thực kết quả xét chọn cháu nuôi,Bộ Công an,Công an cấp Xã,Hộ tịch,
1.001246,Đăng ký chứng thực kết quả xét công nhận cháu nuôi,Bộ Công an,Công an cấp Xã,Hộ tịch,
1.001247,Đăng ký chứng thực kết quả chấm dứt quan hệ cháu nuôi,Bộ Công an,Công an cấp Xã,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf7-5f5c-7417-9d79-a68286506c49
1.001248,Cấp giấy xác nhận bệnh lây nhiễm,Bộ Công an,Công an cấp Xã,Hộ tịch,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfd-3ff5-7648-b151-d01ce2d86829
1.001249,Chứng thực bản sao giấy tờ của cơ quan hộ tịch nước ngoài,Bộ Công an,Công an cấp Xã,Hộ tịch,
1.001250,Xác thực chữ ký trên giấy tờ,Bộ Công an,Công an cấp Xã,Hộ tịch,
1.001251,Cấp bản sao giấy tờ,Bộ Công an,Công an cấp Xã,Hộ tịch,
1.001252,"Điều chỉnh, sửa đổi hoặc bổ sung nội dung giấy khai sinh",Công an cấp Xã,Bộ Công an,Hộ tịch,
1.001253,"Điều chỉnh, sửa đổi hoặc bổ sung nội dung giấy kết hôn",Công an cấp Xã,Bộ Công an,Hộ tịch,
1.001254,"Điều chỉnh, sửa đổi hoặc bổ sung nội dung giấy ly hôn",Công an cấp Xã,Bộ Công an,Hộ tịch,
1.001255,"Điều chỉnh, sửa đổi hoặc bổ sung nội dung giấy tử vong",Công an cấp Xã,Bộ Công an,Hộ tịch,
